SiteName,Municipality,ProgramCategory,EnforcementTypeDescription,IssuedDate,DocumentNumber,PenaltyCashAssessed,Comment
,,GEN-SW,"Administrative Consent Order, With Penalty",10/26/20,,2000,"NON 2019. RECENT VIOLATION OBS 3/6/20 BY CERO. COM FOOD WASTE, CARDBORD AND WOOD. PENALTY PAYMENT PLAN- (4) PAYMENTS OF $500"
,,GEN-SW,Notice Of Non-Compliance,10/22/20,,0,"WASTE BAN VIOLATION, CARDBOARD OBS AT PEABODY TS"
,,GEN-SW,Notice Of Non-Compliance,10/20/20,,0,CARDBOARD AND PAPER OBS AT PEABODY TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,10/6/20,,0,WASTE BAN VIOLATION SAUGUS CF 18-JUN-2020 2 LOADS CARDBOARD (OCC)
,,GEN-SW,Notice Of Non-Compliance,10/6/20,,0,WASTE BAN VIOLATION 24-JAN-2020 HOWARD TS CARDBOARD (OCC)
,,GEN-SW,Notice Of Non-Compliance,10/6/20,,0,WASTE BAN VIOLATION HOWARD TS 21-AUG-2020 METAL YARD WASTE WHITE GOODS (2)
,,GEN-SW,Notice Of Non-Compliance,10/6/20,,0,WASTE BAN VIOLATION 17-SEPT-2020 FALL RIVER TS CARDBOARD (OCC)
,,GEN-SW,Notice Of Non-Compliance,10/6/20,,0,WASTE BAN VIOLATION 21-AUG-2020 HOWARD TS CARDBOARD (OCC)
,,GEN-SW,Notice Of Non-Compliance,10/6/20,,0,WASTE BAN VIOLATION HOWARD TS CARDBOARD OCC
,,GEN-SW,Notice Of Non-Compliance,9/22/20,,0,"CARDBORAD OBS AT PEABODY TS, LOAD ORIGINATED FROM 265 INDEPENDENCE DR, CHESTNUT HILL, MA"
,,GEN-SW,Notice Of Non-Compliance,9/22/20,,0,"CARDBOARD AND REFRIGERATOR, WHITEGOOD OBS AT PEABODY TS"
,,GEN-SW,Notice Of Non-Compliance,9/22/20,,0,CARDBOARD OBS AT PEABODY TS
,,GEN-SW,Notice Of Non-Compliance,9/22/20,,0,CARDBOARD AND PAPER OBS AT RAYNHAM TS
,,GEN-SW,Notice Of Non-Compliance,9/22/20,,0,"LOAD ORIGINATED FROM 141 NORFOLK ST, WALPOLE, MA OBS AT RAYNHAM TS, CARDBOARD AND WHITE GOOD, AIR CONDITIONING UNIT"
,,GEN-SW,Notice Of Non-Compliance,9/22/20,,0,CARDBOARD OBS AT PEABODY TS
,,GEN-SW,Notice Of Non-Compliance,9/22/20,,0,CARDBOARD AND METAL OBS AT PEABODY TS
,,GEN-SW,Notice Of Non-Compliance,9/17/20,,0,"MIXING OF RESIDENTIAL MSW AND RECYCLING FOR DISPOSAL, MULTIPLE VIOLATIONS, OBS IN KINGSTON MA"
,,HAULER,"Administrative Consent Order, With Penalty",8/17/20,,2860,WASTE BAN VIOLATIONS HOWARD TS METAL
,,HAULER,Notice Of Non-Compliance,9/8/20,,0,WASTE BAN VIOLATIONS 07-JUL-2020 AND 14-AUG-2020 REPUBLIC FALL RIVER LEAF AND YARD AND SINGLE STREAM
,,GEN-SW,Notice Of Non-Compliance,9/8/20,,0,CARDBOARD AND METAL OBS AT RAYNHAM TS JULY 24 2020
,,GEN-SW,"Administrative Consent Order, With Penalty",9/8/20,,0,WASTE BAN VIOLATIONS OBSERVED AT HOWARD TS ON 24-JAN-2020 OCC METAL CLEAN GYPSUM HITE GOOD PENALTY SUSPENDED DUE TO COVID-19 IMPACTS ON HEALTHCARE SECTOR
,,GEN-SW,Notice Of Non-Compliance,9/8/20,,0,"CARDBOARD ORIGINATING FROM ENCORE BOSTON HARBOR, OBS AT DANVERS TS AUG 7 20202"
,,GEN-SW,"Administrative Consent Order, With Penalty",8/31/20,,1000,CARDBOARD DISPOSED OF AT BRAINTREE TS
