SiteName,Municipality,ProgramCategory,EnforcementTypeDescription,IssuedDate,DocumentNumber,PenaltyCashAssessed,Comment
,,HAULER,Notice Of Non-Compliance,4/18/17,,0,"OBSERVED 3/24/2017 AT LYNN TS, ISSUED TO HILTZ WASTE DISPOSAL INC."
,,GEN-SW,Notice Of Non-Compliance,10/28/19,,0,CARDBOARD OBSERVED AT HOWARD TS 10/10/19
,,GEN-SW,Notice Of Non-Compliance,10/28/19,,0,CARDBOARD OBSERVED AT HOWARD TS 10/10/19
,,GEN-SW,Notice Of Non-Compliance,10/28/19,,0,PAPER OBSERVED AT HOWARD TS 10/10/19
,,GEN-SW,Notice Of Non-Compliance,10/24/19,,0,WASTE BAN VIOLATION SINGLE STREAM RECYCLING OBERSERVED AT RAYNHAM TS
,,GEN-SW,Notice Of Non-Compliance,10/18/19,,0,9/19/19 OBSERVE RECYCLABLE PAPER (CARDBOARD) AT COVANTA BRAINTREE TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,10/18/19,,0,9/19/19 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT COVANTA BRAINTREE TRANSFER STATION
,,GEN-SW,"Administrative Consent Order, With Penalty",10/16/19,,1720,WASTE BAN HLE FOR OCC OBSERVED 5/6/19 WHEELABRATOR SAUGUS. FAILURE TO RESPOND TO NON-BO-00006476
,,GEN-SW,Notice Of Non-Compliance,10/16/19,,0,WASTE BAN VIOLATION RAYNHAM TS CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,10/16/19,,0,WASTE BAN VIOLATION AT RAYNHAM TS FOR CARDBOARD AND AC
,,GEN-SW,"Administrative Consent Order, With Penalty",10/16/19,,946,WASTE BAN ACP OCC. FALL RIVER TS 7/23/19
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT PEABODY WOOD TRANSFER STATION ON JULY 31, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT WHEELABRATOR NORTH ANDOVER ON AUGUST 16, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT WHEELABRATOR NORTH ANDOVER ON AUGUST 16, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT PEABODY WOOD TRANSFER STATION ON JULY 31, 2019"
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT WHEELABRATOR NORTH ANDOVER ON AUGUST 16, 2019 AND SEPTEMBER 20, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT WHEELABRATOR NORTH ANDOVER ON AUGUST 16, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT PEABODY WOOD TRANSFER STATION ON JULY 31, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT WHEELABRATOR NORTH ANDOVER ON AUGUST 16, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT WHEELABRATOR NORTH ANDOVER ON AUGUST 16, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT AUBURN TRANSFER STATION ON AUGUST 2, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"VIOLATION OCCURED AT PEABODY WOOD TRANSFER STATION ON JULY 31, 2019. CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT POST ROAD TRANSFER STATION ON AUGUST 7, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/10/19,,0,"CARDBOARD VIOLATION OCCURED AT POST ROAD TRANSFER STATION ON AUGUST 7, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/9/19,,0,CARDBOARD OBSERVED AT DANVERS TS FROM BEAUPORT HOTEL GLOUCESTER
,,GEN-SW,Notice Of Non-Compliance,10/9/19,,0,CARDBOARD OBSERVED AT THE DANVERS TS
,,GEN-SW,Notice Of Non-Compliance,10/8/19,,0,"OBSERVED VIOLATION AT WHEELABRATOR NORTH ANDOVER ON AUGUST 16, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/8/19,,0,"CARDBOARD VIOLATION OCCURED AT WHEELABRATOR NORTH ANDOVER ON AUGUST 16, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/8/19,,0,"VIOLATION OCCURED AT WHEELABRATOR NORTH ANDOVER ON AUGUST 16, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/8/19,,0,"CARDBOARD VIOLATION OCCURED AT PEABODY WOOD TRANSFER STATION ON JULY 31, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/8/19,,0,"CARDBOARD VIOLATION OCCURED AT PEABODY WOOD TRANSFER STATION ON JULY 31, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/8/19,,0,"VIOLATION OCCURED AT PEABODY WOOD TRANSFER STATION ON JULY 31, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/8/19,,0,"CARDBOARD VIOLATION OCCURED AT PEABODY WOOD TRANSFER STATION ON JULY 31, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/8/19,,0,"VIOLATION OCCURED AT PEABODY WOOD TRANSFER STATION ON JULY 31, 2019."
,,GEN-SW,Notice Of Non-Compliance,10/2/19,,0,9/19/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT COVANTA BRAINTREE TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,10/2/19,,0,9/19/2019 OBSERVED RECYCLABLE PAPER (OCC) AT COVANTA BRAINTREE TRANSFER STATION
,,HAULER,Notice Of Non-Compliance,4/20/17,,0,OBSERVED 3/17/2017 AT PEABODY WOOD TS
,,GEN-SW,Notice Of Non-Compliance,10/2/19,,0,9/19/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT COVANTA BRAINTREE TRANSFER STAITON
,,GEN-SW,Notice Of Non-Compliance,10/2/19,,0,9/19/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT COVANTA BRAINTREE TRANSFER STATION
,,GEN-SW,"Administrative Consent Order, With Penalty",10/2/19,,1720,12/10/18 OBSERVED RECYCLABLE PAPER (CARDBOARD) AND COMMERICAL ORGANIC MATERIAL AT WHEELABRATOR SAUGUS WTE FACILITY
,,HAULER,Notice Of Non-Compliance,3/13/17,,0,OBSERVED 2/27/2017 AT HUDSON TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,10/1/19,,0,CARDBOARD AND METAL OBSERVED AT HOWARD TS
,,GEN-SW,Notice Of Non-Compliance,10/1/19,,0,CARDBOARD OBSERVED AT THE LYNN TS
,,GEN-SW,Notice Of Non-Compliance,10/1/19,,0,METAL AND BROKEN CONCRETE ABC OBSERVED AT HOWARD TS
,,GEN-SW,Notice Of Non-Compliance,10/1/19,,0,METAL OBSERVED AT HOWARD TS
,,GEN-SW,Notice Of Non-Compliance,10/1/19,,0,CARDBOARD OBSERVED AT THE HOWARD TS
,,GEN-SW,Notice Of Non-Compliance,10/1/19,,0,METAL AND WOOD (BRUSH) OBSERVED AT THE HOWARD TS
,,GEN-SW,Notice Of Non-Compliance,9/30/19,,0,OBSERVED AT CASELLA TRANSFER STATION IN HOLYOKE ON 9/13/2019 A LOAD WITH WASTE BAN MATERIALS (CARDBOARD & ROUND NECK PLASTIC CONTAINERS) DELIVERED BY USA WASTE TRUCK #196 ORGINATING FROM ENVIRONMENTAL INTEGRITY CO LLC.
,,GEN-SW,Notice Of Non-Compliance,9/23/19,,0,COMMERCIAL ORGANIC MATERIAL WASTE BAN INSPECTION ON 5/28/19 AT HOWARD TRANSFER STATION.
,,GEN-SW,Notice Of Non-Compliance,9/23/19,,0,9/4/19 FALL RIVER TS CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,9/23/19,,0,9/4/19 FALL RIVER TS CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,9/23/19,,0,9/4/19 FALL RIVER TS CARDBOARD
,,HAULER,Notice Of Non-Compliance,3/13/17,,0,OBSERVED 2/24/2017 AT DEDHAM TRANSFER STATION
,,HAULER,Notice Of Non-Compliance,7/23/21,,0,OBS AT HOWARD TS 6/24/21. CARDBOARD AND WOOD.
,,GEN-SW,Notice Of Non-Compliance,9/19/19,,0,CARDBOARD OBSERVED AT SUAGUS WHEELABRATOR
,,GEN-SW,Notice Of Non-Compliance,9/9/19,,0,CARDBOARD 5/28/19 WASTE BAN INSPECTION AT HOWARD TRANSFER STATION
,,HAULER,Notice Of Non-Compliance,9/13/18,,0,OBESRVED CARDBOARD & CRT 9/5/2018 AT DEVENS RECYCLING
,,GEN-SW,"Administrative Consent Order, With Penalty",9/5/19,,1892,WASTE BAN HLE FOR RECYCLABLE PAPER (CARDBOARD) OBSERVED BY CERO AND BOS
,,HAULER,Notice Of Non-Compliance,3/13/17,,0,OBESRVED 1/6/2017 AT DEDHAM TRANSFER STATION 210299
,,GEN-SW,Notice Of Non-Compliance,9/4/19,,0,CARDBOARD DISPOSED OF AT HOWARD TS 8/21/19 RTC EMAILED TO STEVE MOCCIA
,,HAULER,Notice Of Non-Compliance,9/5/19,,0,NON-RESPONSE TO INFORMATION REQUEST.
,,GEN-SW,Notice Of Non-Compliance,9/3/19,,0,8/13/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT COVANTA HAVERHILL INC 7014 1200 0001 3169 5622
,,GEN-SW,Notice Of Non-Compliance,8/28/19,,0,FROM WASTE BAN INSPECTION AT HOWARD TRANSFER STATION 5/28/19
,,GEN-SW,Notice Of Non-Compliance,8/28/19,,0,CARDBOARD WASTE BAN INSPECTION 12/20/18 AT HOWARD TRANSFER STATION. REPUBLIC SERVICES REPORTED CUSTOMER LOCATED AT ASSEMBLY ROW. ENTITY IS A WASTE BROKER. ENTITY DID NOT RESPOND TO DEP OUTREACH TO MORE SPECIFICALLY IDENTIFY THE GENERATOR.
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,OBSERVED CARDBOARD 7/26/2019 AT EL HARVEY HAULED BY JE TULLY
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD ON AUGUST 9, 2019 AT THE LEOMINSTER TRANSFER STATION DELIVERED BY WASTE MANAGEMENT."
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,OBSERVED CARDBOARD 7/24/2019 FROM BOCH HONDA NORWOOD AT/BY EL HARVEY
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD ON JULY 24, 2019 AT THE EL HARVEY TRANSFER STATION DELIVERED BY EL HARVEY & SONS"
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD (25% BY VOLUME) AND RECYCLABLE ALUMINUM CANS (50% BY VOLUME) ON JULY 19, 2019 AT WHEELABRATOR MILLBURY DELIVERED BY JRM HAULING & RECYCLING."
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,OBSERVED 50% CARDBOARD 7/17/2019 AT HOLLISTON TS HAULED BY WELLESLEY TRUCKING
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD ON JULY 26, 2019 AT THE HUDSON TRANSFER STATION DELIVERED BY BP TRUCKING"
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD ON AUGUST 14, 2019 AT DEVENS RECYCLING CENTER DELIVERED BY REPUBLIC SERVICES"
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,NON FOR FAILURE TO RESPOND TO 310 CMR 19.007(3)&(4) REQUEST FOR INFORMATION
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD AND COMMERCIAL ORGANICS (FOOD) WASTE ON JULY 19, 2019 AT WHEELABRATOR NORTH ANDOVER DELIVERED BY CHARLES GEORGE TRUCKING"
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD AND PAPER ON JULY 17, 2019 AT THE HOLLISTON TRANSFER STATION DELIVERED BY EOMS."
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD ON JULY 26, 2019 AT THE HUDSON TRANSFER STATION DELIVERED BY BP TRUCKING."
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD ON JULY 17, 2019 AT THE HOLLISTON TRANSFER STATION"
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARBOARD AND COMMERCIAL ORGANICS (FOOD WASTE) ON JULY 19, 2019 AT WHEELABRATOR NORTH ANDOVER DELIVERED BY WASTE MANAGEMENT"
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD ON JULY 26, 2019 AT THE HUDSON TRANSFER STATION DELIVERED BY BP TRUCKING"
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD ON JULY 17, 2019 AT HOLLISTON TRANSFER STATION DELIVERED BY LAWRENCE WASTE"
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,OBSERVED CARDBOARD 7/31/2019 AT OXFORD TS HAULED BY PRATT
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,"OBSERVED CARDBOARD ON JULY 19, 2019 AT WHEELABRATOR NORTH ANDOVER DELIVERED BY JRM HAULING & RECYCLING."
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,OBSERVED CARDBOARD ETC 7/19/2019 AT WHEELABRATOR NORTH ANDOVER HAULED BY EL HARVEY
,,GEN-SW,Notice Of Non-Compliance,8/26/19,,0,OBSERVED CARDBOARD & FOOD 4/19/2019 AT COVANTA HAVERHILL HAULED BY CASELLA
,,HAULER,Notice Of Non-Compliance,7/19/19,,0,NON FOR FAILURE TO RESPOND TO FORMAL INFORMATION REQUEST UNDER 310 CMR 19.007(3) AND 310 CMR 19.007(4)
,,GEN-SW,Notice Of Non-Compliance,8/23/19,,0,CARDBOARD AT RAYNHAM TRANSFER STATION RTC 9/4/19
,,GEN-SW,Notice Of Non-Compliance,8/23/19,,0,CARDBOARD HAULED BY REPRUBLIC OBSERVED AT BRAINTREE TS
,,GEN-SW,Notice Of Non-Compliance,8/21/19,,0,CARDBOARD AND FOOD WASTE OBSERVED AT THE TAUNTON TRANSFER STATION. RTC LETTER- OCC DUMPERST AND FOOD WASTE SENT TO WM CORE FACILITY
,,GEN-SW,Notice Of Non-Compliance,8/21/19,,0,CARDBOARD AND WOOD OBSERVED AT THE TAUNTON LANDFILL
,,GEN-SW,Notice Of Non-Compliance,8/16/19,,0,"LOAD OBSERVED AT BRAINTREE TS ON 8/8/19, CARDBOARD AND FOOD WASTE NINO LAMBERT AND BP TRUCKING SENT LETTERS IN RESPONSE NON"
,,GEN-SW,Notice Of Non-Compliance,8/12/19,,0,"OBSERVED CARDBOARD AND WOOD ON JULY 3, 2019 AT AUBURN TRANSFER STATION DELIVERED BY CASELLA WASTE"
,,GEN-SW,Notice Of Non-Compliance,8/12/19,,0,"OBSERVED CARDBOARD ON JULY 3, 2019 AT AUBURN TRANSFER STATION DELIVERED BY CASELLA WASTE."
,,GEN-SW,Notice Of Non-Compliance,8/12/19,,0,OBSERVED CARDBOARD ON 07/12/2019 AT THE MELROSE TRANSFER STATION DELIVERED BY WASTE MANAGEMENT
,,GEN-SW,Notice Of Non-Compliance,8/9/19,,0,OBSERVED CARDBOARD DISPOSED OF AT SUAGUS WHEELABRATOR RTC 20-AUG-2019
,,GEN-SW,Notice Of Non-Compliance,8/5/19,,0,"OBSERVED ON 7/12/2019 AT MCNAMARA TRANSFER STATION IN SPRINGFIELD THAT WASTE DELIVERED FOR FOR DISPOSAL BY REPUBLIC SERVICES TRUCK #3015 INCLUDED WASTE (CLEAN WOOD) FROM JB HUNT IN WINDSOR LOCKS, CT."
,,GEN-SW,Notice Of Non-Compliance,8/5/19,,0,OBSERVED ON 7/12/2019 AT MCNAMARA TRANSFER STATION IN SPRINGFIELD THAT WASTE ORIGINATING FROM MAHAN SLATE DELIVERED FOR DISPOSAL BY REPUBLIC SERVICES CONTAINED BANNED MATERIALS (CLEAN WOOD).
,,GEN-SW,Notice Of Non-Compliance,8/2/19,,0,FAILURE TO RESPOND TO 310 CMR 19.007(3)/(4) INFORMATION REQUEST
,,GEN-SW,Notice Of Non-Compliance,8/2/19,,0,7/23/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AND METAL AT FALL RIVER TS
,,GEN-SW,Notice Of Non-Compliance,8/2/19,,0,FAILURE TO RESPOND TO 310 CMR 19.007(3)/(4) INFORMATION REQUEST
,,GEN-SW,Notice Of Non-Compliance,8/2/19,,0,FAILURE TO RESPOND TO 310 CMR 19.007(3)/(4) INFORMATION REQUEST
,,GEN-SW,Notice Of Non-Compliance,8/2/19,,0,FAILURE TO RESPOND TO 310 CMR 19.007(3)/(4) INFORMATION REQUEST
,,GEN-SW,Notice Of Non-Compliance,8/2/19,,0,FAILURE TO RESPOND TO 310 CMR 19.007(3)/(4) INFORMATION REQUEST. RESPONDED 8/7/2019 VIA EMAIL
,,GEN-SW,Notice Of Non-Compliance,8/2/19,,0,FAILURE TO RESPOND TO 310 CMR 19.007(3)/(4) INFORMATION REQUEST
,,GEN-SW,Notice Of Non-Compliance,8/2/19,,0,FAILURE TO RESPOND TO 310 CMR 19.007 (3) AND (4) LETTER
,,GEN-SW,Notice Of Non-Compliance,8/2/19,,0,7/23/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT FALL RIVER TS
,,GEN-SW,Notice Of Non-Compliance,8/2/19,,0,7/23/2019 OBSERVED PLASTIC BOTTLES AT NEW BEDFORD WASTE SERVICES
,,GEN-SW,Notice Of Non-Compliance,7/29/19,,0,CARDBOARD AT HOWARD TRANSFER STATION NON-RTC 14-AUG-2019
,,HAULER,Notice Of Non-Compliance,5/11/16,,0,NON FOR CONTRACTING FOR MIXED CONTAINER SERVICE FOR SHAHEEN BROS AND FOODIES MARKET IN 2015.
,,GEN-SW,Notice Of Non-Compliance,7/19/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/19/19,,0,CARDBOARD AND METAL WASTE BAN
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,CARDBOARD AND WOOD
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,"CARDBOARD, YARD WASTE, COMMERCIAL ORGANIC WASTE"
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,"CARDBOARD, YARD WASTE, COMMERCIAL ORGANIC MATERIAL"
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/15/19,,0,CARDBOARD AND COMMERCIAL ORGANIC MATERIAL
,,GEN-SW,Notice Of Non-Compliance,7/12/19,,0,WHITE GOODS (AC UNITS) OBSRVED AT BRAINTREE TRANSFER STATION. RESPONDED TO NON AFTER 30 DAYS.
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD AND COMMERCIAL ORGANIC MATERIAL
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,"Administrative Consent Order, With Penalty",7/11/19,,3000,"GHWBAN ACOP FOR WASTE BAN VIOLATIONS (OCC, METAL CONTAINERS, ORGANICS)"
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD AND COMMERCIAL ORGANIC MATERIAL
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD AND COMMERCIAL ORGANIC WASTE
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD AND COMMERCIAL ORGANIC MATERIAL
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD AND COMMERCIAL ORGANIC WASTE
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD AND A WHITE GOOD (REFRIGERATOR)
,,GEN-SW,Notice Of Non-Compliance,7/11/19,,0,CARDBOARD
,,GEN-SW,"Administrative Consent Order, With Penalty",7/9/19,,2000,12/10/2018 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT WHEELABRATOR SAUGUS AND PREVIOUS NONS
,,GEN-SW,"Administrative Consent Order, With Penalty",7/9/19,,946,"GHWBAN VIOLATIONS OBSERVED AT WHEELABRATOR SAUGUS ON 5/6/19 FROM: STAR MARKET #3561 33 AUSTIN STREET NEWTONVILLE, MA 02460 FMF# 535609	 STAR MARKET #645 1 BOYLSTON STREET CHESTNUT HILL, MA 02467 FMF# 451327"
,,GEN-SW,Notice Of Non-Compliance,7/7/19,,0,RECYCLABLE PAPER (CARDBOARD) OBSERVED AT BRAINTREE TRANSFER STATION NON-RTC 13-AUG-2019
,,GEN-SW,Notice Of Non-Compliance,7/2/19,,0,OBSERVED ON 6/24/2019 AT THE CASELLA TRANSFER STATION IN HOLYOKE THAT WASTE DELIVERED FOR DISPOSAL BY WASTE MANAGEMENT TRUCK # 414959 ORIGINATING FROM SEALED AIR. THE LOAD CONTAINED THE FOLLOWING WASTE BANNED MATERIAL(S): CARDBOARD.
,,GEN-SW,Notice Of Non-Compliance,7/1/19,,0,OBSERVED ON 6/24/2019 AT THE CASELLA TRANSFER STATION IN HOLYOKE THAT WASTE DELIVERED FOR DISPOSAL BY WASTE MANAGEMENT TRUCK # 414959 ORIGINATING FROM CRS THE LOAD CONTAINED THE FOLLOWING WASTE BANNED MATERIAL(S): CARDBOARD.
,,GEN-SW,Notice Of Non-Compliance,6/30/19,,0,CARDBOARD
,,GEN-SW,"Administrative Consent Order, With Penalty",6/28/19,,1000,12/10/2018 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT WHEELABRATOR SAUGUS. PRIOR ENF 2014 NON 2017 ACOP | EXCUTED 28-JUN-2019
,,GEN-SW,Notice Of Non-Compliance,6/25/19,,0,"WASTE BAN VIOLATION OBSERVED ON 5/31/2019 AT COMMUNITY ECO POWER SPRINGFIELD LLC IN AGAWAM. WASTE MANAGEMENT TRUCK # 127 LOAD CONTAINED CARDBOARD, SINGLE POLYMER PLASTIC CONTAINERS, AND YARD WASTE."
,,GEN-SW,Notice Of Non-Compliance,6/24/19,,0,SOLID WASTE LOAD ORIGINATING FROM LAKESIDE ORGANIC OF HADLEY LLC WAS DELIVERED BY USA RECYCLE TRUCK #183 TO VALLEY RECYCLING IN NORTHAMPTON ON 6/18/2019. THE LOAD CONTAINED ORGANIC FOOD WASTE AND RECYCLABLE PAPER (CARDBOARD).
,,GEN-SW,"Administrative Consent Order, With Penalty",6/20/19,,1720,ACOP FOR LOAD OBSERVED AT EL HARVEY TRANSFER STATION IN FITCHBURG. WASTE BAN ITEM RECYCLABLE PAPER (CARDBOARD). $1720 PENALTY DUE 8/5/19
,,GEN-SW,Notice Of Non-Compliance,6/10/19,,0,WASTE BAN VIOLATION OBSERVED ON 5/31/2019 AT COMMUNITY ECO SPRINGFIELD LLC IN SPRINGFIELD. LOAD DELIVERED BY WASTE MANAGEMENT TRUCK #127 CONTAINED COMMERCIAL ORGANIC MATERIAL (FOOD WASTE) AND PLASTIC AND METAL CONTAINERS.
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,"BOTTLES AND CANS, MIXED PAPER, CARDBOARD, GLASS, AND YARD WASTE"
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD AND COMMERCIAL ORGANICS
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD AND COMMERCIAL ORGANIC MATERIAL
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,"COMMERCIAL ORGANICS, METAL CANS, CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,6/3/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,5/24/19,,0,5/6/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT WHEELABRATOR SAUGUS
,,GEN-SW,Notice Of Non-Compliance,5/24/19,,0,5/6/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT WHEELABRATOR SAUGUS
,,GEN-SW,Notice Of Non-Compliance,5/24/19,,0,5/6/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT WHEELABRATOR SAUGUS. RTC 6-20-19 ADD CARDBOARD DUMPSTER
,,GEN-SW,Notice Of Non-Compliance,5/14/19,,0,WASTE BAN LOAD (RECYCLABLE PAPER (CARDBOARD) & 1 CRT TV) ORIGINATING FROM CARDINAL HEALTH (KPR US LLC) DELIVERED ON 4/25/2019 BY NORTHSTAR (TRUCK # 13) TO MCNAMARA TRANSFER STATION IN SPRINGFIELD.
,,GEN-SW,Notice Of Non-Compliance,5/7/19,,0,"HOLLISTON TRANSFER STATION OCC APRIL 4, 2019 CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,5/7/19,,0,
,,GEN-SW,Notice Of Non-Compliance,5/7/19,,0,CARDBOARD
,,GEN-SW,"Administrative Consent Order, With Penalty",5/6/19,,1860,WASTE BAN ACOP
,,GEN-SW,"Administrative Consent Order, With Penalty",5/6/19,,2580,WASTE BAN VIOLATION FOOD CARDBOARD
